country_code,year,trade_percentage_of_gdp,ip_payments,high_tech_exports,trade_balance_goods,trade_balance_services,exports_of_goods_services,source,indicator_code
USA,2010,30.12,847015.91,30.96,5.6,13.42,22.94,mock_data,TRADE_MOCK
USA,2011,44.47,2732554.78,8.98,-14.62,-7.59,21.14,mock_data,TRADE_MOCK
USA,2012,110.96,4399327.51,31.97,-5.21,-3.69,38.17,mock_data,TRADE_MOCK
USA,2013,103.05,8683603.96,26.45,6.34,12.53,21.49,mock_data,TRADE_MOCK
USA,2014,199.66,6405611.71,13.6,-16.74,9.32,38.41,mock_data,TRADE_MOCK
USA,2015,48.14,1677878.35,7.37,-6.53,5.65,21.85,mock_data,TRADE_MOCK
USA,2016,122.87,9489470.48,18.01,1.43,12.29,27.34,mock_data,TRADE_MOCK
USA,2017,121.63,6559420.48,21.13,0.09,-9.85,18.13,mock_data,TRADE_MOCK
USA,2018,130.44,7373768.95,39.92,2.57,4.85,22.57,mock_data,TRADE_MOCK
USA,2019,175.85,223554.43,6.71,-6.66,-7.62,41.09,mock_data,TRADE_MOCK
USA,2020,40.55,5637260.02,11.84,2.2,-8.75,15.4,mock_data,TRADE_MOCK
USA,2021,77.04,4168490.51,14.11,-13.42,-7.19,16.39,mock_data,TRADE_MOCK
USA,2022,148.0,9271350.07,29.25,3.41,6.4,36.41,mock_data,TRADE_MOCK
USA,2023,99.56,8564141.36,27.12,-17.09,12.42,28.39,mock_data,TRADE_MOCK
GBR,2010,56.73,6645950.88,27.94,-9.5,0.09,21.34,mock_data,TRADE_MOCK
GBR,2011,188.97,3997029.46,15.09,8.75,5.4,19.71,mock_data,TRADE_MOCK
GBR,2012,38.03,9463267.23,17.27,-6.96,-7.55,25.4,mock_data,TRADE_MOCK
GBR,2013,195.14,6125145.02,12.85,-0.1,2.68,22.24,mock_data,TRADE_MOCK
GBR,2014,64.78,3344088.59,37.16,0.28,-9.47,20.31,mock_data,TRADE_MOCK
GBR,2015,23.68,6290877.82,7.6,-3.22,-7.62,30.81,mock_data,TRADE_MOCK
GBR,2016,146.14,5424957.24,14.19,15.0,8.98,24.12,mock_data,TRADE_MOCK
GBR,2017,89.4,5255036.29,6.6,-1.63,11.1,45.26,mock_data,TRADE_MOCK
GBR,2018,123.41,1106913.45,35.79,5.08,-5.42,15.62,mock_data,TRADE_MOCK
GBR,2019,52.83,9326157.0,36.6,17.09,7.22,16.44,mock_data,TRADE_MOCK
GBR,2020,128.7,5598413.15,12.83,-11.28,9.11,33.37,mock_data,TRADE_MOCK
GBR,2021,121.81,5211337.5,20.53,8.31,-3.87,46.02,mock_data,TRADE_MOCK
GBR,2022,113.05,8915764.47,8.51,18.47,6.27,14.38,mock_data,TRADE_MOCK
GBR,2023,144.94,6971364.99,39.54,12.09,12.32,35.79,mock_data,TRADE_MOCK
DEU,2010,90.89,2272259.67,38.21,-5.56,-1.68,36.98,mock_data,TRADE_MOCK
DEU,2011,100.51,9652459.11,31.97,8.17,-7.17,23.02,mock_data,TRADE_MOCK
DEU,2012,71.84,3556303.59,29.27,-9.55,3.29,13.18,mock_data,TRADE_MOCK
DEU,2013,93.95,7695617.46,20.71,5.59,13.75,31.45,mock_data,TRADE_MOCK
DEU,2014,45.71,4499213.6,7.32,13.93,-1.43,30.39,mock_data,TRADE_MOCK
DEU,2015,28.59,8654711.38,12.72,17.37,4.1,39.78,mock_data,TRADE_MOCK
DEU,2016,154.74,2010169.35,33.29,12.9,-6.56,45.15,mock_data,TRADE_MOCK
DEU,2017,58.36,3489014.01,18.09,-14.42,-3.8,12.59,mock_data,TRADE_MOCK
DEU,2018,100.48,6614761.62,9.01,-17.28,9.1,37.64,mock_data,TRADE_MOCK
DEU,2019,29.67,373190.97,28.14,9.83,-7.5,16.76,mock_data,TRADE_MOCK
DEU,2020,118.45,4209001.51,20.43,17.22,7.31,42.62,mock_data,TRADE_MOCK
DEU,2021,134.87,3864226.32,35.08,-13.47,5.08,47.74,mock_data,TRADE_MOCK
DEU,2022,123.55,7239941.43,26.62,-9.95,0.99,45.21,mock_data,TRADE_MOCK
DEU,2023,47.27,5469574.83,8.23,11.35,8.91,41.09,mock_data,TRADE_MOCK
JPN,2010,93.39,5373150.34,32.91,9.73,-6.63,31.12,mock_data,TRADE_MOCK
JPN,2011,147.15,3901658.96,7.41,-11.86,-5.21,49.31,mock_data,TRADE_MOCK
JPN,2012,59.75,8645163.14,39.22,3.77,9.95,20.71,mock_data,TRADE_MOCK
JPN,2013,112.56,6029583.52,21.94,-4.32,2.09,31.85,mock_data,TRADE_MOCK
JPN,2014,109.28,3376379.26,15.76,-4.83,-6.54,37.29,mock_data,TRADE_MOCK
