country_code,year,gdp_growth,unemployment_rate,inflation_rate,trade_balance,foreign_direct_investment,gdp_per_capita,source,gdp_growth_filter,unemployment_rate_filter,inflation_rate_filter,average_gdp_growth,total_trade_balance,gdp_growth_rate_percentage,gdp_per_capita_growth,indicator_code,life_expectancy,maternal_mortality,healthcare_expenditure,infant_mortality,disease_burden,life_expectancy_filter,maternal_mortality_filter,healthcare_expenditure_filter,average_life_expectancy,total_healthcare_expenditure,under5_mortality_per_1k,maternal_mortality_ratio,physicians_per_1k,hospital_beds_per_10k,suicide_rate_per_100k,infant_mortality_rate,literacy_rate,enrollment_primary,enrollment_secondary,enrollment_tertiary,government_expenditure_pct_gdp,literacy_rate_filter,school_enrollment_rate,education_expenditure,education_expenditure_filter,average_literacy_rate,total_education_expenditure,teacher_student_ratio,teacher_student_ratio_metric,primary_completion_rate,gender_parity_in_education,school_enrollment_rate_filter,co2_emissions,renewable_energy_usage,forest_area_pct,energy_use_kg_oil_pc,co2_emissions_filter,renewable_energy_usage_filter,energy_use_filter,total_co2_emissions,renewable_energy_percentage,deforestation_rate,average_deforestation_rate,water_usage,pm25,electric_power_kwh_pc,freshwater_withdrawal_pct,population_total,population_growth,fertility_rate,age_dependency_ratio,gini_index,poverty_rate,homicide_rate,child_labor,stunting_rate,immunization_dpt,internet_usage,mobile_subscriptions,scientific_articles,patent_applications,research_expenditure,broadband_subscriptions,innovation_index,trade_percentage_of_gdp,ip_payments,high_tech_exports,trade_balance_goods,trade_balance_services,exports_of_goods_services
USA,2010,4.18,3.56,7.49,-7.76,117060000000.0,65246.96,mock_data,3.0,1.0,3.0,3.344,-23.28,4.18,1.61,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2011,4.41,7.32,4.47,-2.92,114180000000.0,52732.8,mock_data,3.0,2.0,2.0,3.5280000000000005,-8.76,4.41,6.79,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2012,5.9,4.65,1.48,-3.68,64599999999.99999,11785.81,mock_data,3.0,1.0,1.0,4.720000000000001,-11.040000000000001,5.9,2.12,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,5.34,13.47,7.35,13.2,146790000000.0,25552.62,mock_data,3.0,3.0,3.0,4.272,39.599999999999994,5.34,2.13,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2014,3.08,9.24,5.47,12.63,27620000000.0,16728.08,mock_data,3.0,2.0,2.0,2.4640000000000004,37.89,3.08,3.13,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2015,4.25,11.51,11.55,11.96,116770000000.0,78522.96,mock_data,3.0,3.0,3.0,3.4000000000000004,35.88,4.25,5.23,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2016,-1.69,4.74,7.78,-4.61,140230000000.0,22074.41,mock_data,1.0,1.0,3.0,-1.352,-13.830000000000002,-1.69,-0.56,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2017,1.45,10.98,1.76,8.99,32750000000.0,25502.51,mock_data,2.0,3.0,1.0,1.16,26.97,1.45,3.39,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2018,2.49,7.04,5.88,1.74,91600000000.0,10032.7,mock_data,2.0,2.0,2.0,1.9920000000000002,5.22,2.49,6.92,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2019,-0.2,2.76,5.02,1.64,101770000000.0,19603.04,mock_data,1.0,1.0,2.0,-0.16000000000000003,4.92,-0.2,2.58,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2020,2.26,5.66,5.23,-5.93,11500000000.0,32789.66,mock_data,2.0,2.0,2.0,1.8079999999999998,-17.79,2.26,-0.8,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2021,5.62,8.51,6.69,10.09,124210000000.0,78823.03,mock_data,3.0,2.0,3.0,4.496,30.27,5.62,5.51,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
