country_code,year,literacy_rate,enrollment_primary,enrollment_secondary,enrollment_tertiary,government_expenditure_pct_gdp,source,literacy_rate_filter,school_enrollment_rate,education_expenditure,education_expenditure_filter,average_literacy_rate,total_education_expenditure,teacher_student_ratio,teacher_student_ratio_metric,primary_completion_rate,indicator_code,gender_parity_in_education,school_enrollment_rate_filter
USA,2010,79.35,84.33,89.02,49.56,8.0,mock_data,2,86.675,8.0,3,75.3825,80.0,13.5,0.087,91.67,EDUC_MOCK,0.84,3
USA,2011,92.31,93.08,56.2,80.9,6.67,mock_data,3,74.64,6.67,3,87.6945,66.7,36.36,0.082,85.17,EDUC_MOCK,0.77,2
USA,2012,92.75,94.02,68.19,20.81,7.45,mock_data,3,81.10499999999999,7.45,3,88.1125,74.5,19.66,0.072,61.65,EDUC_MOCK,0.81,2
USA,2013,94.35,97.88,92.37,46.69,6.6,mock_data,3,95.125,6.6,3,89.6325,66.0,12.94,0.059,63.86,EDUC_MOCK,0.98,3
USA,2014,89.43,93.49,86.87,75.76,7.56,mock_data,2,90.18,7.56,3,84.9585,75.6,29.8,0.054,93.29,EDUC_MOCK,0.73,3
USA,2015,84.46,86.34,71.67,52.11,3.73,mock_data,2,79.005,3.73,1,80.237,37.3,37.16,0.096,66.18,EDUC_MOCK,0.73,2
USA,2016,83.35,84.68,90.91,35.13,3.55,mock_data,2,87.795,3.55,1,79.18249999999999,35.5,13.9,0.067,89.58,EDUC_MOCK,0.77,3
USA,2017,75.96,86.18,64.14,71.1,2.96,mock_data,2,75.16,2.96,1,72.16199999999999,29.6,23.05,0.1,78.38,EDUC_MOCK,0.97,2
USA,2018,80.47,97.66,66.25,77.82,2.87,mock_data,2,81.955,2.87,1,76.4465,28.700000000000003,32.95,0.071,84.65,EDUC_MOCK,1.08,2
USA,2019,67.88,85.6,43.72,68.74,7.48,mock_data,1,64.66,7.48,3,64.48599999999999,74.80000000000001,33.99,0.072,62.81,EDUC_MOCK,0.91,1
USA,2020,60.2,98.16,69.31,58.03,4.46,mock_data,1,83.735,4.46,2,57.19,44.6,37.56,0.07,92.0,EDUC_MOCK,1.06,2
USA,2021,93.39,96.88,69.15,39.72,7.99,mock_data,3,83.015,7.99,3,88.7205,79.9,35.63,0.088,94.09,EDUC_MOCK,0.76,2
