country_code,year,co2_emissions,renewable_energy_usage,forest_area_pct,energy_use_kg_oil_pc,source,co2_emissions_filter,renewable_energy_usage_filter,energy_use_filter,total_co2_emissions,renewable_energy_percentage,deforestation_rate,average_deforestation_rate,water_usage,pm25,electric_power_kwh_pc,freshwater_withdrawal_pct,indicator_code
USA,2010,3.74,15.37,47.49,2482.68,mock_data,1,1,2,3740000.0,15.37,-1.52,-0.33,339.41,55.08,9800.59,23.38,ENV_MOCK
USA,2011,19.46,13.72,50.08,9402.89,mock_data,3,1,3,19460000.0,13.72,0.33,0.12,566.37,8.93,10688.77,34.62,ENV_MOCK
USA,2012,12.68,67.14,25.0,7569.05,mock_data,3,3,3,12680000.0,67.14,-1.77,-0.05,916.29,59.01,12284.7,67.13,ENV_MOCK
USA,2013,19.69,50.64,68.88,5898.77,mock_data,3,3,3,19690000.0,50.64,-1.73,-0.64,586.79,56.58,9672.56,69.74,ENV_MOCK
USA,2014,10.23,43.76,30.3,827.24,mock_data,3,2,1,10230000.0,43.76,0.35,-0.94,716.44,10.53,2076.02,67.26,ENV_MOCK
USA,2015,16.59,74.69,63.78,5476.09,mock_data,3,3,3,16590000.0,74.69,-1.54,-0.34,370.86,21.21,4849.26,56.78,ENV_MOCK
USA,2016,15.34,68.5,21.65,5328.24,mock_data,3,3,3,15340000.0,68.5,-0.63,-1.32,316.28,16.86,624.94,45.57,ENV_MOCK
USA,2017,14.05,46.7,63.06,5953.84,mock_data,3,2,3,14050000.0,46.7,-0.7,-1.45,538.62,53.59,3539.44,97.19,ENV_MOCK
USA,2018,9.73,68.71,46.07,9461.68,mock_data,2,3,3,9730000.0,68.71,0.76,-0.16,644.44,29.55,1998.21,39.62,ENV_MOCK
USA,2019,18.83,12.38,67.3,9744.31,mock_data,3,1,3,18830000.0,12.38,-0.27,-0.49,143.54,55.22,13101.99,52.58,ENV_MOCK
USA,2020,16.95,34.47,63.34,9216.17,mock_data,3,2,3,16950000.0,34.47,-1.54,-0.57,353.17,17.75,3654.5,96.08,ENV_MOCK
USA,2021,17.1,68.13,29.19,2642.4,mock_data,3,3,2,17100000.0,68.13,0.78,0.33,815.77,53.38,4994.67,34.3,ENV_MOCK
USA,2022,6.91,44.67,52.78,6833.03,mock_data,2,2,3,6910000.0,44.67,0.38,-1.15,277.71,53.06,5752.53,33.14,ENV_MOCK
USA,2023,16.77,14.52,39.91,6523.24,mock_data,3,1,3,16770000.0,14.52,0.68,-1.35,760.24,20.68,6001.5,58.56,ENV_MOCK
GBR,2010,9.95,25.04,42.94,5532.13,mock_data,2,2,3,9950000.0,25.04,-1.12,-0.76,196.01,20.76,11611.75,20.56,ENV_MOCK
GBR,2011,5.68,26.02,17.02,1072.39,mock_data,2,2,1,5680000.0,26.02,-0.15,-1.06,393.02,26.27,2628.74,52.83,ENV_MOCK
GBR,2012,10.02,23.53,69.04,5833.04,mock_data,3,2,3,10020000.0,23.53,0.11,-1.05,457.97,32.36,12934.46,16.39,ENV_MOCK
GBR,2013,18.49,48.79,34.91,8985.24,mock_data,3,2,3,18490000.0,48.79,-0.19,0.04,547.26,36.76,9112.37,24.44,ENV_MOCK
GBR,2014,9.2,59.03,61.75,5031.78,mock_data,2,3,3,9200000.0,59.03,-1.16,-0.98,216.23,9.68,13147.95,93.34,ENV_MOCK
GBR,2015,1.21,7.58,24.2,4068.6,mock_data,1,1,2,1210000.0,7.58,-0.73,0.27,770.4,48.53,1278.76,80.73,ENV_MOCK
GBR,2016,3.75,49.59,60.71,1308.81,mock_data,1,2,1,3750000.0,49.59,-0.82,-1.09,703.31,50.61,5943.59,37.09,ENV_MOCK
