country_code,year,population_total,population_growth,fertility_rate,age_dependency_ratio,gini_index,poverty_rate,homicide_rate,child_labor,stunting_rate,immunization_dpt,source,indicator_code
USA,2010,1325496209.0,1.45,2.01,50.21,32.39,29.58,16.1,14.14,10.68,56.54,mock_data,SOCDEM_MOCK
USA,2011,430387457.0,1.26,1.34,27.84,35.2,36.09,1.25,19.99,27.47,78.53,mock_data,SOCDEM_MOCK
USA,2012,1426510872.0,0.62,3.11,30.16,46.33,4.19,15.79,3.94,6.98,58.32,mock_data,SOCDEM_MOCK
USA,2013,892787054.0,2.23,3.3,42.92,41.98,0.97,21.1,2.5,19.9,98.55,mock_data,SOCDEM_MOCK
USA,2014,58723844.0,0.52,3.84,59.61,42.66,16.75,11.41,14.3,7.71,53.79,mock_data,SOCDEM_MOCK
USA,2015,165522873.0,0.42,3.03,63.28,40.3,29.45,11.4,18.19,15.53,61.74,mock_data,SOCDEM_MOCK
USA,2016,491483375.0,-0.01,4.93,64.32,46.39,23.06,22.68,5.63,9.77,56.2,mock_data,SOCDEM_MOCK
USA,2017,1197963719.0,0.97,2.1,45.25,29.67,25.78,16.44,8.71,10.96,63.96,mock_data,SOCDEM_MOCK
USA,2018,861378038.0,1.91,2.79,39.15,41.71,19.44,0.98,12.43,2.47,71.16,mock_data,SOCDEM_MOCK
USA,2019,909894481.0,-0.32,2.45,51.07,46.61,22.85,17.95,1.58,6.45,63.83,mock_data,SOCDEM_MOCK
USA,2020,60422188.0,0.93,1.29,42.12,60.05,19.24,22.19,15.9,20.72,56.2,mock_data,SOCDEM_MOCK
USA,2021,1059384969.0,-0.37,1.61,39.79,32.81,19.48,16.99,4.52,21.05,77.07,mock_data,SOCDEM_MOCK
USA,2022,4618329.0,-0.14,4.13,22.89,36.1,20.54,10.09,12.07,7.75,62.71,mock_data,SOCDEM_MOCK
USA,2023,907590205.0,-0.36,2.15,40.02,53.19,26.99,19.26,15.8,13.22,56.37,mock_data,SOCDEM_MOCK
GBR,2010,367878934.0,1.08,2.83,31.56,60.29,11.69,7.59,10.16,4.74,59.15,mock_data,SOCDEM_MOCK
GBR,2011,430360337.0,-0.24,1.77,33.49,25.55,0.58,14.43,0.33,24.49,71.54,mock_data,SOCDEM_MOCK
GBR,2012,982803746.0,1.51,2.6,64.81,52.26,40.0,22.36,3.24,3.27,75.15,mock_data,SOCDEM_MOCK
GBR,2013,571156444.0,-0.44,3.24,38.31,43.6,14.09,10.11,2.41,29.11,92.73,mock_data,SOCDEM_MOCK
GBR,2014,603755106.0,1.64,4.11,41.83,31.93,38.53,17.85,17.11,16.23,70.59,mock_data,SOCDEM_MOCK
GBR,2015,441650782.0,0.78,3.2,60.11,25.66,1.79,4.69,18.96,4.36,95.73,mock_data,SOCDEM_MOCK
GBR,2016,627754113.0,1.74,4.82,28.36,28.13,24.95,24.55,11.94,19.57,94.35,mock_data,SOCDEM_MOCK
GBR,2017,807683976.0,0.2,2.51,38.44,48.26,5.65,12.43,8.51,29.87,82.38,mock_data,SOCDEM_MOCK
GBR,2018,1366408644.0,1.01,2.18,49.72,58.8,24.75,11.77,3.18,11.12,57.12,mock_data,SOCDEM_MOCK
GBR,2019,1081134968.0,0.83,4.25,40.78,53.75,5.88,18.74,17.95,2.95,98.37,mock_data,SOCDEM_MOCK
GBR,2020,1132845382.0,1.34,3.65,22.94,29.97,38.95,19.52,16.59,4.61,92.58,mock_data,SOCDEM_MOCK
GBR,2021,790226398.0,1.7,3.72,23.1,53.92,25.67,8.48,11.56,17.11,73.05,mock_data,SOCDEM_MOCK
GBR,2022,1427931319.0,1.14,3.1,33.24,61.67,36.53,11.46,7.45,26.34,93.46,mock_data,SOCDEM_MOCK
GBR,2023,490196685.0,-0.08,3.64,36.48,56.31,36.76,14.63,16.92,23.74,55.66,mock_data,SOCDEM_MOCK
DEU,2010,72214972.0,0.3,1.87,40.93,33.39,9.21,9.78,6.76,21.23,93.99,mock_data,SOCDEM_MOCK
DEU,2011,447817165.0,0.6,2.28,55.64,44.75,8.62,9.67,3.05,15.31,71.71,mock_data,SOCDEM_MOCK
DEU,2012,1283261757.0,2.12,2.66,60.58,44.61,38.76,21.03,4.7,29.71,75.31,mock_data,SOCDEM_MOCK
DEU,2013,1211150104.0,0.25,4.31,36.88,62.62,39.73,24.81,3.75,13.53,62.63,mock_data,SOCDEM_MOCK
DEU,2014,1498036599.0,0.78,3.31,49.91,46.83,11.39,23.42,16.2,8.64,66.24,mock_data,SOCDEM_MOCK
DEU,2015,258328373.0,-0.29,2.53,40.8,41.16,30.77,9.13,0.14,9.09,86.06,mock_data,SOCDEM_MOCK
DEU,2016,100732126.0,-0.0,2.03,62.56,47.27,28.58,24.72,12.85,10.96,88.81,mock_data,SOCDEM_MOCK
DEU,2017,820152943.0,0.41,1.62,37.96,36.3,3.37,13.88,9.11,4.17,57.27,mock_data,SOCDEM_MOCK
DEU,2018,714693561.0,1.04,4.64,35.78,35.84,18.74,12.05,7.99,12.36,59.22,mock_data,SOCDEM_MOCK
DEU,2019,183665980.0,0.37,4.74,67.3,34.43,4.74,4.56,0.02,16.21,93.36,mock_data,SOCDEM_MOCK
DEU,2020,928461565.0,1.13,3.06,78.04,64.05,21.0,12.38,16.84,23.0,72.22,mock_data,SOCDEM_MOCK
DEU,2021,150470407.0,2.0,4.25,30.42,60.85,23.0,16.76,8.83,10.77,89.17,mock_data,SOCDEM_MOCK
DEU,2022,120263274.0,0.31,4.5,66.99,25.47,13.6,13.64,6.73,12.02,82.77,mock_data,SOCDEM_MOCK
DEU,2023,636906994.0,0.51,2.32,76.12,60.98,24.1,12.66,0.82,11.29,75.67,mock_data,SOCDEM_MOCK
JPN,2010,844884026.0,-0.46,3.38,76.56,31.27,19.52,0.98,0.83,7.12,63.54,mock_data,SOCDEM_MOCK
JPN,2011,1179435095.0,2.09,1.95,74.7,28.88,25.61,23.83,19.6,16.84,97.59,mock_data,SOCDEM_MOCK
JPN,2012,626712807.0,0.03,3.21,46.94,47.76,26.68,4.79,15.01,6.16,56.04,mock_data,SOCDEM_MOCK
JPN,2013,728718594.0,0.71,2.36,55.55,25.74,13.11,6.08,11.12,2.09,77.15,mock_data,SOCDEM_MOCK
JPN,2014,1311641545.0,-0.0,3.32,50.86,55.87,13.19,24.44,2.46,5.88,65.16,mock_data,SOCDEM_MOCK
JPN,2015,1038051650.0,2.28,1.46,61.95,29.29,21.89,1.45,18.14,26.38,82.26,mock_data,SOCDEM_MOCK
JPN,2016,1333874545.0,1.2,3.0,43.54,56.98,38.37,7.99,0.06,11.93,69.07,mock_data,SOCDEM_MOCK
JPN,2017,704194116.0,1.13,2.06,65.21,46.66,7.65,5.15,1.5,22.02,72.75,mock_data,SOCDEM_MOCK
JPN,2018,491659628.0,1.9,4.92,72.36,60.49,23.74,17.86,3.93,12.34,91.11,mock_data,SOCDEM_MOCK
JPN,2019,529010614.0,0.41,2.58,45.26,59.16,28.91,22.13,1.63,15.84,81.15,mock_data,SOCDEM_MOCK
JPN,2020,111521383.0,0.57,2.74,31.59,45.45,30.4,18.67,19.62,26.52,65.69,mock_data,SOCDEM_MOCK
JPN,2021,132790438.0,1.97,2.0,52.07,36.28,2.75,10.35,3.48,15.02,73.82,mock_data,SOCDEM_MOCK
JPN,2022,1151015921.0,2.01,2.66,66.0,35.64,26.26,20.15,5.17,13.13,63.37,mock_data,SOCDEM_MOCK
JPN,2023,868422355.0,1.17,4.43,31.36,39.27,38.35,11.09,16.87,5.4,96.31,mock_data,SOCDEM_MOCK
CHN,2010,795113187.0,-0.16,3.09,44.95,62.09,4.49,24.94,8.79,1.34,50.81,mock_data,SOCDEM_MOCK
CHN,2011,995036989.0,0.06,2.04,56.72,62.99,19.39,2.23,19.4,11.58,67.72,mock_data,SOCDEM_MOCK
CHN,2012,506641050.0,1.24,3.89,58.56,59.4,29.43,20.8,15.82,10.59,70.34,mock_data,SOCDEM_MOCK
CHN,2013,446817057.0,0.99,3.03,39.8,51.92,5.36,9.3,16.35,16.41,70.45,mock_data,SOCDEM_MOCK
CHN,2014,426947304.0,-0.14,4.55,20.72,44.58,39.48,8.23,16.74,24.03,90.65,mock_data,SOCDEM_MOCK
CHN,2015,425509466.0,1.23,3.43,68.23,31.07,3.54,5.51,2.77,7.47,71.46,mock_data,SOCDEM_MOCK
CHN,2016,882366578.0,-0.42,2.64,39.87,36.16,18.18,8.23,10.68,23.63,70.8,mock_data,SOCDEM_MOCK
CHN,2017,1107816723.0,0.59,1.32,61.68,26.72,7.2,2.93,19.43,9.73,66.64,mock_data,SOCDEM_MOCK
CHN,2018,12554641.0,2.2,1.78,50.88,42.74,0.8,11.51,16.1,24.2,53.6,mock_data,SOCDEM_MOCK
CHN,2019,1298487075.0,0.75,4.2,52.7,25.14,27.26,1.38,1.81,19.9,91.24,mock_data,SOCDEM_MOCK
CHN,2020,254410307.0,1.46,3.2,75.37,25.25,6.04,7.62,2.26,5.39,85.09,mock_data,SOCDEM_MOCK
CHN,2021,1337596297.0,2.38,3.49,48.82,29.32,20.69,2.52,6.3,14.36,56.2,mock_data,SOCDEM_MOCK
CHN,2022,1473713257.0,1.03,1.64,28.58,45.7,20.37,22.14,13.5,1.34,70.44,mock_data,SOCDEM_MOCK
CHN,2023,438406288.0,2.28,1.65,44.58,64.07,37.72,4.5,8.7,5.13,82.92,mock_data,SOCDEM_MOCK
FRA,2010,236301076.0,-0.3,1.85,74.25,25.04,17.71,16.56,13.93,7.79,51.25,mock_data,SOCDEM_MOCK
FRA,2011,1213082446.0,2.07,3.43,74.73,59.07,11.24,0.94,4.27,3.13,65.63,mock_data,SOCDEM_MOCK
FRA,2012,646991380.0,1.52,4.82,79.86,51.15,6.14,16.31,14.08,3.38,94.2,mock_data,SOCDEM_MOCK
FRA,2013,492553810.0,2.17,3.55,49.37,45.49,31.13,11.38,3.18,3.11,76.35,mock_data,SOCDEM_MOCK
FRA,2014,30452566.0,2.02,1.51,66.6,36.34,4.88,13.99,3.69,29.88,76.07,mock_data,SOCDEM_MOCK
FRA,2015,174376400.0,-0.16,3.83,21.76,49.63,18.1,22.5,4.56,11.21,66.72,mock_data,SOCDEM_MOCK
FRA,2016,699495055.0,1.87,2.72,66.85,43.75,37.63,16.3,4.55,17.62,78.21,mock_data,SOCDEM_MOCK
FRA,2017,18166637.0,1.58,3.79,63.49,26.89,34.81,11.39,0.63,21.22,70.65,mock_data,SOCDEM_MOCK
FRA,2018,1329219489.0,0.4,4.28,63.29,30.15,24.19,22.78,15.44,2.08,56.33,mock_data,SOCDEM_MOCK
FRA,2019,233679661.0,0.21,3.88,77.08,37.49,2.41,14.78,8.81,18.49,88.2,mock_data,SOCDEM_MOCK
FRA,2020,542255707.0,0.11,3.5,64.52,36.31,18.97,23.78,2.96,8.15,86.5,mock_data,SOCDEM_MOCK
FRA,2021,1247846018.0,-0.2,3.81,40.44,60.48,31.57,9.65,0.85,15.41,93.59,mock_data,SOCDEM_MOCK
FRA,2022,569862219.0,-0.44,2.93,31.14,45.3,7.56,12.86,5.77,26.14,72.38,mock_data,SOCDEM_MOCK
