country_code,year,gdp_growth,unemployment_rate,inflation_rate,trade_balance,foreign_direct_investment,gdp_per_capita,source,gdp_growth_filter,unemployment_rate_filter,inflation_rate_filter,average_gdp_growth,total_trade_balance,gdp_growth_rate_percentage,gdp_per_capita_growth,indicator_code,life_expectancy,maternal_mortality,healthcare_expenditure,infant_mortality,disease_burden,life_expectancy_filter,maternal_mortality_filter,healthcare_expenditure_filter,average_life_expectancy,total_healthcare_expenditure,under5_mortality_per_1k,maternal_mortality_ratio,physicians_per_1k,hospital_beds_per_10k,suicide_rate_per_100k,literacy_rate,enrollment_primary,enrollment_secondary,enrollment_tertiary,government_expenditure_pct_gdp,literacy_rate_filter,school_enrollment_rate,education_expenditure,education_expenditure_filter,average_literacy_rate,total_education_expenditure,teacher_student_ratio,teacher_student_ratio_metric,primary_completion_rate,gender_parity_in_education,co2_emissions,renewable_energy_usage,forest_area_pct,energy_use_kg_oil_pc,co2_emissions_filter,renewable_energy_usage_filter,energy_use_filter,total_co2_emissions,renewable_energy_percentage,deforestation_rate,average_deforestation_rate,water_usage,pm25,electric_power_kwh_pc,freshwater_withdrawal_pct,population_total,population_growth,fertility_rate,age_dependency_ratio,gini_index,poverty_rate,homicide_rate,child_labor,stunting_rate,immunization_dpt,internet_usage,mobile_subscriptions,scientific_articles,patent_applications,research_expenditure,broadband_subscriptions,innovation_index,trade_percentage_of_gdp,ip_payments,high_tech_exports,trade_balance_goods,trade_balance_services,exports_of_goods_services
USA,2010,-1.57,9.5,5.63,1.93,11310000000.0,6246.78,mock_data,Low,Medium,Medium,-1.2560000000000002,5.79,-1.57,-2.73,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2011,5.06,11.03,4.64,11.87,18180000000.0,35083.64,mock_data,High,High,Medium,4.048,35.61,5.06,-1.29,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2012,2.3,9.95,4.57,4.89,27980000000.0,11656.51,mock_data,Medium,Medium,Medium,1.8399999999999999,14.669999999999998,2.3,0.35,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,3.36,2.81,3.12,2.51,34660000000.0,49028.05,mock_data,High,Low,Medium,2.688,7.529999999999999,3.36,5.55,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2014,7.14,13.02,7.39,4.32,149520000000.0,9561.68,mock_data,High,High,High,5.712,12.96,7.14,-0.14,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2015,5.79,13.33,9.25,-6.87,97670000000.0,36324.54,mock_data,High,High,High,4.632000000000001,-20.61,5.79,-2.98,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2016,4.73,8.11,10.96,5.7,38760000000.0,12639.67,mock_data,High,Medium,High,3.7840000000000007,17.1,4.73,1.92,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2017,6.7,4.55,9.31,-2.69,27590000000.0,34131.28,mock_data,High,Low,High,5.36,-8.07,6.7,-0.3,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2018,2.91,6.21,5.12,9.3,105310000000.0,43495.35,mock_data,Medium,Medium,Medium,2.3280000000000003,27.900000000000002,2.91,5.7,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2019,1.68,14.78,0.25,2.52,5090000000.0,26836.02,mock_data,Medium,High,Low,1.344,7.5600000000000005,1.68,-1.72,ECON_MOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
